stimulus_presentation_id,area,temporal_frequency,orientation,active
3817,VISp,2.0,90.0,0
3817,VISrl,2.0,90.0,1
3818,APN,1.0,45.0,1
3818,CA1,1.0,45.0,0
3818,CA2,1.0,45.0,0
3818,CA3,1.0,45.0,1
3818,DG,1.0,45.0,0
3818,LGd,1.0,45.0,1
3818,LP,1.0,45.0,0
3818,POL,1.0,45.0,1
3818,ProS,1.0,45.0,1
3818,SUB,1.0,45.0,1
3818,VISal,1.0,45.0,0
3818,VISam,1.0,45.0,1
3818,VISl,1.0,45.0,0
3818,VISmma,1.0,45.0,0
3818,VISp,1.0,45.0,0
3818,VISrl,1.0,45.0,1
3819,APN,8.0,90.0,1
3819,CA1,8.0,90.0,0
3819,CA2,8.0,90.0,0
3819,CA3,8.0,90.0,1
3819,DG,8.0,90.0,1
3819,LGd,8.0,90.0,1
3819,LP,8.0,90.0,0
3819,POL,8.0,90.0,1
3819,ProS,8.0,90.0,1
3819,SUB,8.0,90.0,1
3819,VISal,8.0,90.0,1
3819,VISam,8.0,90.0,1
3819,VISl,8.0,90.0,0
3819,VISmma,8.0,90.0,0
3819,VISp,8.0,90.0,0
3819,VISrl,8.0,90.0,1
3820,APN,8.0,135.0,1
3820,CA1,8.0,135.0,0
3820,CA2,8.0,135.0,1
3820,CA3,8.0,135.0,1
3820,DG,8.0,135.0,0
3820,LGd,8.0,135.0,0
3820,LP,8.0,135.0,0
3820,POL,8.0,135.0,1
3820,ProS,8.0,135.0,1
3820,SUB,8.0,135.0,1
3820,VISal,8.0,135.0,1
3820,VISam,8.0,135.0,0
3820,VISl,8.0,135.0,0
3820,VISmma,8.0,135.0,0
3820,VISp,8.0,135.0,0
3820,VISrl,8.0,135.0,1
3821,APN,1.0,315.0,1
3821,CA1,1.0,315.0,1
3821,CA2,1.0,315.0,1
3821,CA3,1.0,315.0,1
3821,DG,1.0,315.0,0
3821,LGd,1.0,315.0,0
3821,LP,1.0,315.0,0
3821,POL,1.0,315.0,1
3821,ProS,1.0,315.0,1
3821,SUB,1.0,315.0,1
3821,VISal,1.0,315.0,0
3821,VISam,1.0,315.0,1
3821,VISl,1.0,315.0,0
3821,VISmma,1.0,315.0,1
3821,VISp,1.0,315.0,0
3821,VISrl,1.0,315.0,1
3822,APN,1.0,0.0,1
3822,CA1,1.0,0.0,1
3822,CA2,1.0,0.0,1
3822,CA3,1.0,0.0,1
3822,DG,1.0,0.0,0
3822,LGd,1.0,0.0,1
3822,LP,1.0,0.0,0
3822,POL,1.0,0.0,1
3822,ProS,1.0,0.0,1
3822,SUB,1.0,0.0,1
3822,VISal,1.0,0.0,0
3822,VISam,1.0,0.0,1
3822,VISl,1.0,0.0,0
3822,VISmma,1.0,0.0,1
3822,VISp,1.0,0.0,0
3822,VISrl,1.0,0.0,1
3823,APN,15.0,225.0,1
3823,CA1,15.0,225.0,0
3823,CA2,15.0,225.0,1
3823,CA3,15.0,225.0,1
3823,DG,15.0,225.0,0
3823,LGd,15.0,225.0,0
3823,LP,15.0,225.0,0
3823,POL,15.0,225.0,1
3823,ProS,15.0,225.0,1
3823,SUB,15.0,225.0,0
3823,VISal,15.0,225.0,1
3823,VISam,15.0,225.0,1
3823,VISl,15.0,225.0,0
3823,VISmma,15.0,225.0,0
3823,VISp,15.0,225.0,0
3823,VISrl,15.0,225.0,1
3824,APN,8.0,315.0,1
3824,CA1,8.0,315.0,1
3824,CA2,8.0,315.0,1
3824,CA3,8.0,315.0,1
3824,DG,8.0,315.0,0
3824,LGd,8.0,315.0,1
3824,LP,8.0,315.0,1
